interaction_key,message_id,conversation_id,reset_session_id,tool_event_id,rank_in_tool_event,score,retrieved_content,filename,display_name,filetype,metadata_categories,category_depth,is_qa,can_open,uploaded_at,metadata_id,collection_name,source_file
a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::1779142431837,1779142431837,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::R001,20260519T071352-20260519T182604.csv#5,1,0.934960725,"質問

派遣社員から上長設定する方法を教えてください。

回答

派遣社員から上長設定する方法がわからない場合は以下URLをご確認ください。

https://www.hdservice1.nttls.co.jp/hc/ja/articles/19023196852503",QA592_system_talemane_talemane-employee.md,QA592.md,text/markdown,system > talemane > talemane-employee,0,true,false,2026-02-20 12:55:45,QA592_system_talemane_talemane-employee,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::1779142431837,1779142431837,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::R001,20260519T071352-20260519T182604.csv#5,2,0.9415880750000001,"質問

上長設定を変更したのに申請の承認が新上長に表示されない場合、どうしたらいいでしょうか。

回答

上長設定を変更したのに申請の承認が新上長に表示されない場合は以下URLをご確認ください。

https://www.hdservice1.nttls.co.jp/hc/ja/articles/360057335353",QA620_system_talemane_talemane-employee.md,QA620.md,text/markdown,system > talemane > talemane-employee,0,true,false,2026-02-20 12:59:48,QA620_system_talemane_talemane-employee,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::1779142431837,1779142431837,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::R001,20260519T071352-20260519T182604.csv#5,3,0.923783035,"質問

上長が社員のポジションを割り当てることができない場合、どうしたらいいでしょうか。

回答

上長が社員のポジションを割り当てることができない場合は以下URLをご確認ください。

https://www.hdservice1.nttls.co.jp/hc/ja/articles/25013787582487",QA617_system_talemane_talemane-employee.md,QA617.md,text/markdown,system > talemane > talemane-employee,0,true,false,2026-02-20 12:59:18,QA617_system_talemane_talemane-employee,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::1779142431837,1779142431837,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg,a:1omqjbhub5JIc_5FhNKbUGVjE57wIHZd4XRyWB2-vQ88Xs_NQ3anUe3ETxUmMWwvMWebbd9pg74lN0B4BHFnuC8XT7VOk1CrVz5XQuTIU29Pc-C2tG70xw6Ef9QslptPg::R001,20260519T071352-20260519T182604.csv#5,4,0.929317685,"質問

プロファイル画面から上長設定を行って新上長に変更したが、「一次評価者」が異なったまま(古い情報のまま)となっている場合、どうしたらいいでしょうか。

回答

「一次評価者」が異なったまま(古い情報のまま)となっている場合は以下URLをご確認ください。

https://www.hdservice1.nttls.co.jp/hc/ja/articles/17842855242519",QA614_system_talemane_talemane-employee.md,QA614.md,text/markdown,system > talemane > talemane-employee,0,true,false,2026-02-20 12:58:57,QA614_system_talemane_talemane-employee,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150199248,1779150199248,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#10,1,0.90772143,"２	前項の始業及び終業の時刻は、業務の都合又は本人の希望により変更することがある。

休憩時間

第　11　条	休憩時間は、少なくとも拘束２時間について15分の割合で計算した時間を与えられる。
　ただし、勤務時間が拘束４時間以下であるときは与えられないことがある。

２	休憩時間は勤務の途中において、継続し、又は分割して与えられる。

時間外及び休日の勤務

第　12　条	１日について勤務時間８時間、１週間について勤務時間40時間を超えない限りにおいて第９条及び第14条の規定にかかわらず、１日の所定勤務時間を超えて、又は４週４日以外の休日に勤務を命ぜられることがある。

２	次の各号の一に該当する場合においては、前項の規定にかかわらず、時間外又は休日に勤務を命ぜられることがある。

(1)		労働基準法第36条の規定により協定を締結したとき

(2)		労働基準法第33条の規定により労働基準監督署に所定の手続きをしたとき

３	労働基準法第41条第３号の許可を受けた者は、前各項の規定にかかわらず、時間外又は休日に勤務を命ぜられることがある。

第２節　リモートワーク

リモートワーク

第　13　条　臨時雇が所属長にリモートワークを申し出たとき、または会社指示により、勤務事業所以外を勤務場所とすることがある。

２　会社が貸与する情報通信機器等を除き、リモートワークに関わる費用については、臨時雇が負担する。

第３節　休日及び休暇

休　日

第　14　条　休日は、原則として次のとおりとし、４週４日を下回らないよう個別の雇用契約において定める。

(1) 毎週日曜日及び土曜日

(2) 個別の雇用契約において定めた日

２　前項の休日は、業務上やむを得ない理由があるときは、他の日に変更されることがある。

休暇の種類

第　15　条　休暇には、次の種類がある。

（１）有給休暇

　　　　　　ア　年次休暇

　　　　　　イ　特別休暇

　　　　　　ウ　病気休暇

　　　　　　エ　特別連続休暇

（２）無給休暇

　　　　　　ア　看護等休暇

　　　　　　イ　介護のための短期の休暇

（３）その他

　　　　　　ア　公傷休暇

　　　　　　イ　通勤災害休暇

　　　　２　前項の休暇のほか、社長が必要と認めた場合に休暇が与えられることがある。

年次休暇",,02 臨時雇就業規則_202512.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,policy-operations > regulation > irregular-employment,0,false,true,2026-02-20 14:41:05,02 臨時雇就業規則_202512_policy-operations_regulation_irregular-employment,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150199248,1779150199248,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#10,2,0.9074277,"（８）宿直宿明服務の全勤務時間にかかる休暇は、１日単位の休暇２回とする。

（９）勤務軽減の措置により休養時間を与えている社員が休暇を取得する場合においては、その社員の所定の拘束時間は、休養時間を与えない場合の時間とし、休暇が休養時間と連続する場合は、その休養時間は与えなかったものとして取り扱う。

６　勤務時間の変更があった場合の取扱い

全日制勤務の社員が「育児のための短時間勤務制度について」(2007年４月１日人育服第６号)に定める育児のための短時間勤務又は「介護休職及び介護のための短時間勤務制度について」（1992年７月１日総第121号）第５項に定める介護のための短時間勤務（以下、「育児又は介護のための短時間勤務」という。）を取得する場合、育児又は介護のための短時間勤務を取得している社員が１日の勤務時間を変更する場合又は全日制勤務に復帰する場合（以下、「勤務時間の変更」という。）、変更又は復帰後の１時間を単位とする年次休暇の保有時間数については、以下の通りとする。

変更前の １日の勤務時間 変更後の １日の勤務時間 変更又は復帰後の保有時間数 ７時間30分 ６時間 変更又は復帰前に保有する時間数に ８分の６を乗じて得た時間数 ５時間 変更又は復帰前に保有する時間数に ８分の５を乗じて得た時間数 ４時間 変更又は復帰前に保有する時間数に ８分の４を乗じて得た時間数 ６時間 ７時間30分 変更又は復帰前に保有する時間数に ６分の８を乗じて得た時間数 ５時間 変更又は復帰前に保有する時間数に ６分の５を乗じて得た時間数 ４時間 変更又は復帰前に保有する時間数に ６分の４を乗じて得た時間数 ５時間 ７時間30分 変更又は復帰前に保有する時間数に ５分の８を乗じて得た時間数 ６時間 変更又は復帰前に保有する時間数に ５分の６を乗じて得た時間数 ４時間 変更又は復帰前に保有する時間数に ５分の４を乗じて得た時間数 ４時間 ７時間30分 変更又は復帰前に保有する時間数に ４分の８を乗じて得た時間数 ６時間 変更又は復帰前に保有する時間数に ４分の６を乗じて得た時間数 ５時間 変更又は復帰前に保有する時間数に ４分の５を乗じて得た時間数

なお、保有時間数に１時間未満の端数がある場合は、端数を切り上げた時間数に読み替える。

７　給　与

　　年次休暇は、有給とする。",,36 社員の勤務時間、休日及び休暇について_202504.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,policy-operations > regulation > regulation-others,0,false,true,2026-02-20 14:41:25,36 社員の勤務時間、休日及び休暇について_202504_policy-operations_regulation_regulation-others,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150199248,1779150199248,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#10,3,0.9074539500000001,"ア 日勤服務以外の服務につかせない。ただし、やむを得ぬ理由で夜勤服務につかせる場合は、組織の

長と産業医が協議して決める。

イ 健康状態に応じて、勤務時間中に休養時間を与えるか、又は作業環境、労働負荷を考慮して、勤務

内容の軽減をはかる。

(ｱ) 休養時間中は、原則として事業所内の休憩室等で休養させる。ただし、通勤所要時間、交通機

関等の諸事情を考慮して、勤務の始め又は終りに休養時間を与えることができる。

(ｲ) 休養時間は、１日の所定勤務時間から休養時間を除いた時間が、拘束４時間を下回らない範囲

で与えるものとする。

(ｳ) 勤務内容の軽減をはかる場合には、必要に応じて勤務場所の変更、業務の転換等を行うものと

する。

ウ 過激な運動を伴う業務、時間外労働、宿泊出張はさせない。

(3) 要注意（Ｃ）の服務については、次の各項によることとする。

ア 日勤服務以外の服務につかせない。ただし、やむを得ぬ理由で前記の服務以外の服務につかせる場

合は、組織の長と産業医が協議して決める。

イ 時間外労働はさせない。ただし、やむを得ぬ理由で時間外労働をさせる場合は、組織の長と産業医

が協議して決める。この場合においても、１日２時間、１週２回を限度とする。",健康管理規程.pdf,健康管理規程.pdf,application/pdf,policy-operations > benefits > health,,false,true,2026-02-20 14:36:53,健康管理規程_policy-operations_benefits_health,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150199248,1779150199248,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#10,4,0.90791325,"２	宿直については、睡眠時間を含み８時間以内の休憩時間が与えられる。

３	日直又は宿直の当直時間については、所属長が定めるところによる。

出張、赴任等の場合の勤務時間

第　29　条	社員が出張し、若しくは赴任し、又は所属長のもとを離れて勤務する場合における勤務時間については、特に命ぜられた場合を除くほか、所定の勤務時間を勤務したものとみなす。

第２節　フレックスタイム制

対象者

第　30　条	社員は、第20条から第27条までの規定にかかわらず、次条以下に規定するフレックスタイム制が適用されることがある。

基準労働時間

第　31　条	前条に定める社員は、各清算期間（各月１日から月末まで）において、基準労働時間（週休日を日曜日及び土曜日に設定する社員の当該清算期間における所定労働日の勤務時間（１日７時間30分。ただし、第64条第３項及び第67条第２項に規定する短時間勤務を行う者については、１日４時間、５時間又は６時間のいずれかの時間）を合計して得た時間をいう。）を勤務しなければならない。

コアタイム及びフレキシブルタイム

第　32　条	コアタイム及びフレキシブルタイムは、次のとおりとする。

（１）　コアタイム（全員が勤務しなければならない時間帯）

①　標準的なコアタイムは、午前10時から午後３時まで（正午から午後１時までは休憩時間）の４時間とする。

なお、具体的な設定時刻は、労働基準法第32条の３に規定する協定により定める。

②　第64条第３項及び第67条第２項に規定する短時間勤務を行う者の標準的なコアタイムは、午前10時から午後２時（正午から午後１時までは休憩時間）の３時間とする。なお、具体的な設定時刻は、労働基準法第32条の３に規定する協定により定める。

③　コアタイムを設定しない場合は、１日の最低勤務時間を３時間とする。

なお、具体的には労働基準法第32条の３に規定する協定により定める。

また、コアタイムを設定しない場合における休憩時間は、次のとおりとし、勤務の途中において適用社員の裁量により設定する。

ア　１日５時間以上７時間未満の勤務　　　45分

イ　１日７時間以上の勤務　　　　　　　　60分

（２）フレキシブルタイム（社員が自主的に始業・終業時刻を選択できる時間帯）",,01 社員就業規則等_202512.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,policy-operations > regulation > employee,0,false,true,2026-02-20 14:39:43,01 社員就業規則等_202512_policy-operations_regulation_employee,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150903232,1779150903232,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#14,1,0.9295409,"（注）(1)　休暇を付与する場合であって、特に必要とする場合は、臨時雇を雇用しても差し支えない。

「業務に支障がない場合」には、「業務に支障があるが、臨時雇を雇用すれば業務に支障がなくなる場合」を含む。

２　前項による休暇の付与は、次により行うものとする。

(1)　「休暇願」（「人事服務関係の願、届について」（1992年７月１日総第22号）に定める様式）に基づき、組織単位の長（組織単位の長が指定した者（直属上長より上位にある者に限る。）を含む。）が承認する。

(2)　１年につき６週間以内であれば、夏季及び冬季の２回付与しても差し支えない。

(3)　１学部の受講につき24週間以内であれば、５年以上にわたって付与しても差し支えない。

３　第１項に定める休暇は、社員就業規則第37条第２項による休暇とし、有給とする。

４　第１項に定める休暇期間中の給与については、基本給、成果手当及び採用調整加算の合算した額の10分の3を減額して得た額並びに子育て・介護手当、単身赴任手当及び住宅補助費の全額を支給するものとする。

この場合、月の初日以外の日において新たにこの休暇を付与した場合又は月の末日以外の日においてこの休暇期間が終了した場合における減額すべき額については、「社員給与規則の解釈運用について」（1992年７月１日総第45号）第11条第１項の算出式に基づき、日割によって計算するものとする。

付　則

１　本通達は、2023年４月１日から実施する。

２　「第５章　大学通信教育のスクーリングに参加する者の服務の取扱について」第４項の休暇期間中の給与において、「社員給与規則」（1992年７月１日社長達第22号）の改正（2023年３月31日）付則第３項ないし第12項の措置額を含めて扱う。

３　本通達の実施に伴い、「特認休暇について」（1992年7月1日総第16号）、「ＮＴＴドコモグループ記念日における服務等の取扱いについて」（1992年９月24日総第294号）、「被災者支援活動に従事する社員の服務について」（1995年５月15日総勤第２号）、「骨髄バンクへの登録等を行う社員の服務について」（1993年12月24日総勤第78号）及び「大学通信教育のスクーリングに参加する者の服務の取扱について」（1992年７月１日総第23号）を廃止する。

付　則",,40 特認休暇について_202511.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,policy-operations > regulation > regulation-others,0,false,true,2026-02-20 14:42:16,40 特認休暇について_202511_policy-operations_regulation_regulation-others,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::1779150903232,1779150903232,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR,a:1iSKy7qXCPUl6lHy-2B3xgvRc_tKz1v0JykSQbNaMY5vJSp_4_w19tMqhUwM_oTGTKXV3N-8UzSVsmI-kFbz0LUhY29S-4UuWaWst7uPr3IGvm-BhrKY6KzPsnWAHxMJR::R001,20260519T071352-20260519T182604.csv#14,2,0.9262892300000001,"る。

２　前項における出勤率の算定にあたっては、第17条第１項第15号に定める出産のための特別休暇、第20条に定める公傷休暇、第29条に定める育児休職及び第30条に定める介護休職を付与した日は出勤したものとみなす。

３　年次休暇を与えた日の賃金は、当該勤務日の所定勤務時間を勤務した場合に支払われる通常の賃金とする。

４　年次休暇の時季の指定等の取扱いは次のとおりとする。

（1）年次休暇の時季を指定する場合は事前に行わなければならない。

ただし、指定された時季における年次休暇が事業の正常な運営を妨げる場合は、会社は他の時季に変更することができるものとする。

（2）同条第１項の年次休暇が10日以上発効された臨時雇に対して、発効日から１年以内の年次休暇の取得日数が日又は半日単位で５日に満たない場合は、その不足分について、臨時雇の希望を勘案したうえで会社があらかじめ時季を指定し、日又は半日を単位に取得させることとする。

５　年次休暇は、原則として日を単位とするが、１時間を単位とすることもできる。

ただし、１時間を単位とした休暇は、休暇発効日より１年以内において５日を上限とする。

なお、休暇の付与日数が５日に満たない場合、発効された日数を上限とする。

６　１時間を単位とする場合における取り扱いは、次のとおりとする。

(1) １時間を単位とした休暇は１日の所定勤務時間内において、取得時間帯、取得時間数に制限無く取得できる。

(2) １時間単位の休暇は、１日の所定勤務時間数をもって１日分とする。

特別休暇

第　17　条　臨時雇が次の各号の一に該当する理由により勤務日に勤務しないときは、当該各号に定

めるところにより、その者に特別休暇が与えられる。",,02 臨時雇就業規則_202512.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,policy-operations > regulation > irregular-employment,0,false,true,2026-02-20 14:41:05,02 臨時雇就業規則_202512_policy-operations_regulation_irregular-employment,jp.co.nttexc.workRules__your_navi_qai_docomo,20260519T071352-20260519T182604.csv
